magic,control,drop_0.8,drop_0.9,drop_0.95,drop_0.99,flip_0.9,flip_0.95,drop_0.9_r2,drop_0.9_reg0.05,drop_0.9_reg0.3,raw_control,raw_drop_0.9
339,0.9345261803364074,0.9371304267900363,0.9372836177578969,0.9362572382732315,0.9359814945310825,0.937574680596832,0.9366555347896688,0.9373755323386133,0.9363797910475198,0.9392138239529398,0.9409142436961917,0.9460614602163057
340,0.9520960825308652,0.9512491034230165,0.9510201901506249,0.9510049292657988,0.9508904726296031,0.951027820593038,0.9511346467868207,0.9517374517374518,0.9513711905016253,0.9513940818288645,0.9415660720008545,0.9393685045858959
341,0.9677690112472721,0.9689593602637082,0.9686999252216644,0.9688525340699253,0.9683794466403162,0.9693714041540129,0.9696155783112305,0.9685473163734034,0.9690814473423168,0.9677995330169242,0.958490393273002,0.9583225235399149
342,0.9664205398449708,0.9683813842335856,0.9684273415239437,0.9683201078464413,0.9681975550721529,0.9682128741689389,0.9683813842335856,0.9680596832010785,0.9676613866846412,0.9675388339103527,0.947578050798125,0.9465057140231014
343,0.9441158443150475,0.9434262948207172,0.9437174379405454,0.943548881397487,0.943487588109102,0.9418479926448053,0.9420471958320564,0.9429665951578301,0.9423843089181736,0.9440085810603738,0.9289610787618756,0.9304627643273061
344,0.97467041015625,0.9755325317382812,0.9755325317382812,0.9752731323242188,0.9751968383789062,0.9767227172851562,0.9766311645507812,0.9757766723632812,0.9758834838867188,0.9752197265625,0.956298828125,0.9593505859375
345,0.9425398284313725,0.9459941789215686,0.9457873774509804,0.9457720588235295,0.9454580269607844,0.9469439338235295,0.9469286151960785,0.9459941789215686,0.9459175857843138,0.9454963235294117,0.9432444852941176,0.9463848039215687
346,0.9342153451748764,0.9384422877372887,0.9389153390709882,0.9383965085759629,0.9381218336080082,0.9406549472013673,0.9406854666422511,0.9391289751571752,0.9386101446621498,0.9381828724897759,0.9271348348898248,0.9305377525483733
347,0.9429007633587785,0.9479999999999998,0.9477557251908396,0.9479541984732823,0.9475954198473281,0.948618320610687,0.9488473282442748,0.9479312977099236,0.9471374045801526,0.9482137404580151,0.9422900763358779,0.9398778625954198
348,0.929229646300295,0.942535202700648,0.9425047900003041,0.9424287582494452,0.9423831391989296,0.9438277424652536,0.9436604726133634,0.942519996350476,0.9433715519600986,0.9398436787202336,0.9295337733037318,0.9335330433989235
