magic,baseline_final,baseline_level1,no_pseudo_final,no_pseudo_level1,p09_final,p09_level1,p099_final,p099_level1
70,0.9620461794374838,0.9607947868817435,0.9620461794374838,0.9607947868817435,0.9627787019091367,0.9614662658140919,0.9622140491705711,0.9612983960810049
71,0.9412792995470161,0.9403368497856686,0.9412792995470161,0.9403368497856686,0.9403824521934758,0.9374638980938192,0.9397288176815735,0.939622412063357
72,0.9403677424277104,0.9405661097123674,0.9403677424277104,0.9405661097123674,0.9388876173037308,0.9402456702525368,0.9410238803692683,0.9408712901503014
73,0.9303546359030702,0.9327198925715681,0.9303546359030702,0.9327198925715681,0.9308124275163279,0.9320942440334492,0.9321858023561008,0.9322468412378686
74,0.9459830624856946,0.9422140840772107,0.9459830624856946,0.9422140840772107,0.9469748989089798,0.9439536125734339,0.9425650415808347,0.9424124513618677
75,0.9600949754901961,0.9582567401960784,0.9600949754901961,0.9582567401960784,0.9591758578431373,0.9577359068627451,0.9571078431372549,0.9573376225490196
76,0.9385599364992139,0.9415975942971408,0.9385599364992139,0.9415975942971408,0.941597594297141,0.9424218833478347,0.9421013264947871,0.9408648929187465
77,0.9622739491691106,0.9601356304985337,0.9622739491691106,0.9601356304985337,0.9628696236559139,0.9610062316715543,0.9592955767350928,0.9596315982404691
78,0.946078431372549,0.9450214460784313,0.946078431372549,0.9450214460784313,0.9480392156862745,0.9457414215686273,0.9450367647058825,0.9448529411764706
79,0.9516069732528571,0.9510095284782007,0.9516069732528571,0.9510095284782007,0.9465976286038176,0.9454027390545052,0.9500137871871075,0.9498452771224608
80,0.9549528914135631,0.9527845221188939,0.9549528914135631,0.9527845221188939,0.9548001893505581,0.9518835799471652,0.9522806053109778,0.9522500648983767
81,0.9559624628061341,0.9532463569085222,0.9559624628061341,0.9532463569085222,0.9576409552147707,0.9539940489814602,0.9530937666895551,0.9523308155947203
82,0.9400863977042023,0.9411243913235945,0.9400863977042023,0.9411243913235945,0.9414296835645922,0.9433530246828777,0.9417044465814902,0.9419486803742884
83,0.936300773915831,0.9376440597762209,0.936300773915831,0.9376440597762209,0.9386973180076628,0.9401474561524019,0.9382393796461662,0.938285173482316
84,0.9550663357538989,0.9561387382418728,0.9550663357538989,0.9561387382418728,0.9516499678279254,0.9540398933725527,0.9539632931948402,0.9548671752918467
85,0.9344544996718909,0.9366673279716758,0.9344544996718909,0.9366673279716758,0.9355227616097181,0.936255284081371,0.9360111099241535,0.9357516748821096
86,0.9616646573168313,0.9620309185526577,0.9616646573168313,0.9620309185526577,0.9632975719932241,0.9629007889877456,0.9623056144795276,0.9622140491705709
87,0.9339356295878035,0.9334625421581944,0.9339356295878035,0.9334625421581944,0.9334472812733682,0.932806324110672,0.9329131503044547,0.9325774108382805
88,0.9623254749370566,0.9636530098420691,0.9623254749370566,0.9636530098420691,0.9666437781338215,0.9654230563820859,0.9639429312581064,0.9641260395208667
89,0.9187881562881562,0.9188644688644688,0.9187881562881562,0.9188644688644688,0.9147435897435897,0.9168498168498168,0.9165140415140415,0.9171245421245421
90,0.9382286516511018,0.9390374168345237,0.9382286516511018,0.9390374168345237,0.9413111151803699,0.9405328694378319,0.9402124153085516,0.9401666361472258
91,0.9410980728576243,0.9420018995680015,0.9410980728576243,0.9420018995680015,0.9439933821501884,0.9434112564723185,0.9425993443426576,0.942430834278011
92,0.9059390831959959,0.9054965513031802,0.9059390831959959,0.9054965513031802,0.9078770676921198,0.9043368125495941,0.9056644082280412,0.9061832387230665
93,0.952786424952695,0.9525117499847403,0.952786424952695,0.9525117499847403,0.9510620765427578,0.9505432460477324,0.9517029848013184,0.9517182445217603
94,0.9391788766788767,0.9404151404151404,0.9391788766788767,0.9404151404151404,0.9366452991452993,0.9383394383394384,0.9388278388278388,0.9392246642246641
95,0.9532768749523155,0.9524681467917906,0.9532768749523155,0.9524681467917906,0.9507286182955673,0.9510337987335011,0.95214770733196,0.9518730449378194
96,0.9466392004272526,0.9445029373617151,0.9466392004272526,0.9445029373617151,0.9441519798580911,0.9429617761501488,0.9451285572594796,0.944762340733959
97,0.9276368204939633,0.9259054973340688,0.9276368204939633,0.9259054973340688,0.9275448918306062,0.926732855304284,0.9264723907581051,0.9259208187779616
98,0.9444062829143198,0.9423150310634857,0.9444062829143198,0.9423150310634857,0.9406206591259483,0.9394300193860572,0.9416891819694402,0.9410175390392455
99,0.9341888427734375,0.934051513671875,0.9341888427734375,0.934051513671875,0.93463134765625,0.9343414306640625,0.9358367919921875,0.935028076171875
100,0.9490439055656448,0.9490133837959924,0.9490439055656448,0.9490133837959924,0.9516840386405604,0.9505547331634289,0.9490286446808186,0.9489218184870358
101,0.9541868237520411,0.950005341309689,0.9541868237520411,0.950005341309689,0.9536832145527797,0.9519892563370823,0.951195690326125,0.9503105590062112
102,0.9423389196972948,0.9416189221483501,0.9423389196972948,0.9416189221483501,0.9441159349244769,0.941588283954778,0.9404853089861822,0.940975520083336
103,0.9333302925256949,0.9312017271787387,0.9333302925256949,0.9312017271787387,0.9293316304810557,0.9284193881895031,0.9315970321717448,0.9315058079425895
104,0.9656061646448463,0.9636377508201724,0.9656061646448463,0.9636377508201724,0.9646295872434576,0.9633173113603418,0.9642786297398337,0.9635919737544824
105,0.959206106870229,0.9565343511450383,0.959206106870229,0.9565343511450383,0.9550992366412214,0.9552213740458017,0.9556335877862595,0.9559541984732824
106,0.9448771994134898,0.94301380742913,0.9448771994134898,0.94301380742913,0.9429832600195504,0.9432276392961878,0.9448161045943304,0.9443120723362659
107,0.9446707866025787,0.9460898756389715,0.9446707866025787,0.9460898756389715,0.9443350881208514,0.9447775997558557,0.9470969710841535,0.9472343022812237
108,0.9453526888614127,0.9442994306299705,0.9453526888614127,0.9442994306299705,0.9444826059745692,0.9436125230877257,0.9436735815359253,0.9434904061913267
109,0.94598388671875,0.945404052734375,0.94598388671875,0.945404052734375,0.94195556640625,0.9447174072265625,0.9453887939453125,0.9456024169921875
110,0.9387371700879765,0.9393022971652005,0.9387371700879765,0.9393022971652005,0.9395466764418376,0.9378665689149561,0.9400507086999024,0.9393786656891495
111,0.9577916132576452,0.9552432399438442,0.9577916132576452,0.9552432399438442,0.954907526094122,0.9544497344808642,0.9550143441372154,0.9542666178355611
112,0.9609432234432234,0.9620115995115995,0.9609432234432234,0.9620115995115995,0.9661935286935287,0.962973137973138,0.9618437118437119,0.9616300366300367
113,0.9402581944698774,0.94091436244888,0.9402581944698774,0.94091436244888,0.9427760483427943,0.9416468290300921,0.9404870902765061,0.9408685832875542
