group,noisy::lean|qda,noisy::-kpca|qda,noisy::-gmm|qda,noisy::-scaler|qda,noisy::-transductive|qda,noisy::raw|qda,noisy::raw|qda_reg0.5,noisy::raw|lda,noisy::raw|gmm_bayes_k1,noisy::raw|gmm_bayes_k3,noisy::lean|lda,flip_r1::lean|qda,flip_r1::-kpca|qda,flip_r1::-gmm|qda,flip_r1::-scaler|qda,flip_r1::-transductive|qda,flip_r1::raw|qda,flip_r1::raw|qda_reg0.5,flip_r1::raw|lda,flip_r1::raw|gmm_bayes_k1,flip_r1::raw|gmm_bayes_k3,flip_r1::lean|lda,flip_r2::lean|qda,flip_r2::-kpca|qda,flip_r2::-gmm|qda,flip_r2::-scaler|qda,flip_r2::-transductive|qda,flip_r2::raw|qda,flip_r2::raw|qda_reg0.5,flip_r2::raw|lda,flip_r2::raw|gmm_bayes_k1,flip_r2::raw|gmm_bayes_k3,flip_r2::lean|lda,flip_r3::lean|qda,flip_r3::-kpca|qda,flip_r3::-gmm|qda,flip_r3::-scaler|qda,flip_r3::-transductive|qda,flip_r3::raw|qda,flip_r3::raw|qda_reg0.5,flip_r3::raw|lda,flip_r3::raw|gmm_bayes_k1,flip_r3::raw|gmm_bayes_k3,flip_r3::lean|lda
20,0.9510045069131464,0.9400045833015049,0.9376212665189825,0.950958673898098,0.940371247421893,0.9362309983958444,0.9386295928500495,0.8043694141012909,0.9359407226338706,0.9431670613398518,0.9510045069131464,0.9534412955465587,0.9461920403330533,0.939164311358949,0.9519058895424338,0.9411504086777175,0.9372698800702771,0.9367351615613781,0.809930486593843,0.9372240470552289,0.9431517836681689,0.9520433885875793,0.953044076082805,0.9454739897639599,0.9381254296845161,0.952058666259262,0.9395004201359711,0.9370559926667176,0.9371782140401802,0.8094568787716753,0.9371629363684975,0.9388740355969749,0.9521503322893591,0.9528760216942939,0.9453517683904974,0.9382934840730273,0.9521044992743106,0.9394698647926055,0.9374684898021541,0.9373615461003743,0.8102360400274998,0.9373768237720572,0.9413337407379115,0.9520433885875792
21,0.9430228122377355,0.9417792019531548,0.9324940871290149,0.9406729228656443,0.9325856412603952,0.9392080567635614,0.9360036621652552,0.7794766155489434,0.9389181353475242,0.9317616540779736,0.9288624399176012,0.9459678034637979,0.9485008010986495,0.942244602121004,0.9453574425879301,0.9436942092011902,0.9466086823834592,0.9429922941939421,0.7897611963073168,0.9466392004272526,0.9393759060044251,0.9309681849393454,0.9465476462958724,0.9499809262226291,0.942702372777905,0.9462882429236286,0.9456015869382772,0.9465323872739757,0.9432059205004959,0.7915312428473334,0.9469596398870832,0.9385366598001068,0.930739299610895,0.9463035019455254,0.949233234149691,0.9421530479896238,0.9459983215075913,0.9446860456244754,0.9459983215075913,0.9424734874494545,0.7898832684824904,0.9460746166170748,0.9460440985732814,0.92988479438468
22,0.9504021243151678,0.9339585209150427,0.9297541471454515,0.9533474750866056,0.9336609336609336,0.923100401361271,0.9222610526958352,0.8388145344667084,0.9230698795916186,0.9371098936316327,0.9496696018435149,0.9539655409220628,0.9455262716132281,0.9352785874525006,0.9548277809147375,0.9416118546553329,0.9308224090832786,0.9245044027652723,0.8414699284264502,0.9310971050101484,0.93340149861889,0.9525691699604742,0.9543699543699543,0.9435194652585958,0.9359042837303707,0.9549040853388682,0.9424817250904206,0.9314175835914966,0.925038533734186,0.84201932028019,0.9317228012880187,0.93997893997894,0.952065560761213,0.9537289972072581,0.9439544004761395,0.9365605017778931,0.9547667373754329,0.9427716819021167,0.9318448883666275,0.924779098692142,0.841622537274711,0.9321806278328018,0.9461443374486853,0.9520960825308652
23,0.9396599264705883,0.9404258578431373,0.9274662990196079,0.9367953431372549,0.926639093137255,0.9260110294117648,0.9134037990196079,0.7147824754901962,0.9264399509803921,0.9293198529411765,0.9283394607843137,0.9417738970588235,0.941015625,0.9316942401960784,0.9370557598039215,0.929702818627451,0.9298866421568628,0.9168658088235294,0.7272212009803922,0.9301776960784315,0.935485600490196,0.9276194852941176,0.9421262254901962,0.9406786151960784,0.9316482843137255,0.9362898284313725,0.9294577205882353,0.9292585784313725,0.9154564950980392,0.7250765931372549,0.9298406862745098,0.92734375,0.9282628676470587,0.942202818627451,0.9406939338235294,0.932061887254902,0.9364889705882353,0.9299785539215686,0.9293351715686274,0.9155177696078431,0.724984681372549,0.9297487745098039,0.9350337009803922,0.9284926470588236
24,0.9392852783203125,0.9523162841796875,0.9345550537109375,0.936431884765625,0.9329376220703125,0.937652587890625,0.935760498046875,0.7794189453125,0.9373779296875,0.932525634765625,0.932464599609375,0.9364089965820312,0.95318603515625,0.9384002685546875,0.9395904541015625,0.9354248046875,0.94232177734375,0.939483642578125,0.786407470703125,0.9425048828125,0.9461669921875,0.932159423828125,0.9373092651367188,0.95306396484375,0.9385986328125,0.9398651123046875,0.9349822998046875,0.94207763671875,0.939727783203125,0.782135009765625,0.9422454833984375,0.94189453125,0.9315032958984375,0.9370803833007812,0.9530487060546875,0.9378814697265625,0.93963623046875,0.9345855712890625,0.9420013427734375,0.93951416015625,0.782196044921875,0.941986083984375,0.938507080078125,0.930999755859375
25,0.9490079365079365,0.9575396825396826,0.9450854700854701,0.9443223443223443,0.9434371184371184,0.944490231990232,0.941498778998779,0.8112026862026862,0.9445818070818071,0.9453144078144078,0.9478632478632479,0.9476037851037851,0.9572802197802198,0.9479090354090354,0.9436660561660561,0.9447802197802198,0.9486721611721612,0.9436202686202686,0.8171245421245422,0.9490995115995116,0.9519383394383394,0.9516636141636141,0.9479090354090354,0.9567307692307692,0.9474664224664224,0.9440018315018315,0.9448870573870575,0.9481990231990232,0.9432081807081807,0.8176739926739927,0.9486568986568987,0.9505189255189255,0.9514041514041515,0.9477258852258852,0.9573260073260073,0.9476037851037851,0.944047619047619,0.9448412698412698,0.949053724053724,0.9442002442002441,0.819368131868132,0.9493437118437118,0.9458333333333334,0.9526098901098901
26,0.9515610159624989,0.9571295076442293,0.9490793222831582,0.9549158981586446,0.946995925120255,0.9466895431845338,0.9491865559606606,0.8782744569380191,0.9463218848616686,0.9429210453751647,0.9554061092557983,0.9581022702901437,0.9600631146787586,0.9556971720947333,0.9635099114556206,0.9546861117068538,0.9529550537700298,0.9533839884800392,0.8837127362970679,0.9526639909310949,0.9606222617114495,0.9581941848708599,0.9580409939029995,0.9590214160973068,0.9545329207389933,0.9631422531327554,0.9531235638346762,0.951055485768559,0.9521737798339409,0.8842335855877939,0.9508563375103404,0.9570069548699408,0.9562180213854591,0.9579643984190693,0.9602086460982261,0.9541193051257698,0.9630962958423972,0.9533073929961089,0.951040166671773,0.952143141640369,0.8844633720395847,0.95077974202641,0.9537516468029046,0.9565550415147523
27,0.9584884643554688,0.959747314453125,0.9477081298828125,0.9520111083984375,0.942230224609375,0.9432525634765625,0.9393463134765625,0.8015899658203125,0.943023681640625,0.9487762451171875,0.953887939453125,0.9601974487304688,0.959197998046875,0.948272705078125,0.9531402587890625,0.9430084228515625,0.94317626953125,0.9375762939453125,0.80706787109375,0.9429779052734375,0.9507598876953125,0.9561309814453125,0.9609146118164062,0.9591064453125,0.9468994140625,0.9527130126953125,0.94244384765625,0.941619873046875,0.9355926513671875,0.8044281005859375,0.9413604736328125,0.9522552490234375,0.95489501953125,0.9604110717773438,0.9590606689453125,0.9462127685546875,0.9527435302734375,0.9412841796875,0.9409637451171875,0.9346160888671875,0.8039398193359375,0.9407806396484375,0.951263427734375,0.9560394287109375
28,0.9437857633325704,0.9416723887998779,0.9318226901655603,0.9368886854352635,0.930846112764172,0.931662470435645,0.9331654840924697,0.8317845426108186,0.9313649195086595,0.940489814602884,0.9447165636682688,0.9396505683985656,0.9396658274204623,0.933852140077821,0.9436636911573968,0.9315785458152134,0.9351415274280919,0.9364156557564661,0.8337834744792859,0.9348668650339513,0.9399099717708095,0.9425345235370413,0.9396505683985656,0.9396658274204623,0.933852140077821,0.9436636911573968,0.9315785458152134,0.9351415274280919,0.9364156557564661,0.8337834744792859,0.9348668650339513,0.9399099717708095,0.9425345235370413,0.9396505683985656,0.9396658274204623,0.933852140077821,0.9436636911573968,0.9315785458152134,0.9351415274280919,0.9364156557564661,0.8337834744792859,0.9348668650339513,0.9399099717708095,0.9425345235370413
29,0.9227283131151293,0.9327534905012589,0.9238422217135882,0.9178149080643931,0.9212481879911498,0.9235675593194477,0.9150530251010911,0.7264057373922331,0.9237811856260014,0.9295948729686427,0.9348134584573129,0.9297627222095064,0.9349050125886931,0.9223620965896087,0.939986266880293,0.9170061799038682,0.9231708247501336,0.915907530327306,0.7393911650263219,0.9234607461661707,0.931792172121767,0.9425955596246282,0.931090257114519,0.9358510719462881,0.9225299458304723,0.9405661097123674,0.917219806210422,0.9232013427939268,0.9159075303273061,0.7393148699168384,0.9236133363851378,0.9332875562676433,0.9420920119020372,0.931090257114519,0.9358510719462881,0.9225299458304723,0.9405661097123674,0.917219806210422,0.9232013427939268,0.9159075303273061,0.7393148699168384,0.9236133363851378,0.9332875562676433,0.9420920119020372
