magic,baseline_probe,-kpca,-gmm_score,-hist,-scaler,-gmm_stratify,-repeat,-gmm,-transductive,minimal,minimal_diag,minimal_-transductive,minimal_-gmm_stratify,minimal_reg0.05,minimal_reg0.3,minimal_reg0.5,raw_qda,raw_qda_reg0.5,gmm_bayes_k1,gmm_bayes_k2,gmm_bayes_k3,minimal_k3_s1,minimal_k3_s2,minimal_k4_s1,minimal_k4_s2,minimal_k5_s2,minimal_k5_s3,minimal_k5_s4,minimal_k6_s1,minimal_k6_s2,minimal_k7_s1,minimal_k7_s2,baseline_final,baseline_qda_avg4
27,0.9591751098632812,0.964569091796875,0.9591064453125,0.959716796875,0.950958251953125,0.9565658569335938,0.9612884521484375,0.9507293701171875,0.9412689208984375,0.9620819091796875,0.93133544921875,0.946380615234375,0.9617385864257812,0.9638519287109375,0.9630584716796875,0.962738037109375,0.946441650390625,0.9419097900390625,0.9462127685546875,0.9488983154296875,0.9433135986328125,0.94781494140625,0.9555511474609375,0.950286865234375,0.95147705078125,0.9547119140625,0.9565887451171875,0.96112060546875,0.9546051025390625,0.95599365234375,0.9543380737304688,0.9559173583984375,0.9610443115234375,0.9626922607421875
28,0.9419928282597086,0.934157320515755,0.9418097199969482,0.9432364385442893,0.9407644769970245,0.9399786373693445,0.9396200503547723,0.934554055085069,0.9375448233768215,0.9378500038147556,0.9309834439612421,0.9264820325017167,0.9341954680704967,0.9360799572747386,0.9404440375371937,0.9412680247196155,0.9302204928664073,0.9333791103990234,0.929579613946746,0.9301823453116655,0.9351491569390401,0.9441901274128328,0.9444113832303349,0.9429312581063554,0.9362249179827573,0.9347981994354161,0.9419241626611734,0.9415350576028078,0.945418478675517,0.9352559700923171,0.9397726405737392,0.9315785458152133,0.9418783855954832,0.9444266422522316
29,0.9219501029983979,0.9269626916914626,0.9226214999618525,0.9223163195239186,0.9152208743419546,0.9229343099107348,0.9249790188448921,0.917814908064393,0.9155107957579919,0.9277637903410392,0.9179827573052567,0.9179522392614633,0.9277637903410392,0.9272907606622416,0.9293507286182956,0.929381246662089,0.9194476234073395,0.9117570763714047,0.91967650873579,0.9153887235828184,0.9154650186923019,0.9264362554360265,0.9294728007934692,0.93838406958114,0.9324330510414283,0.9382009613183795,0.9373083085374228,0.938498512245365,0.9325856412603952,0.9330663004501412,0.9330128938735027,0.9290989547570001,0.9414816510261692,0.9384451056687266
30,0.9166857404440375,0.9344014648661022,0.9169604028381781,0.9161974517433432,0.9091935606927596,0.9156939040207522,0.9203631647211414,0.9142900740062563,0.9150377660791944,0.9356374456397345,0.9212329289692531,0.9166552224002441,0.9286717021438926,0.9342641336690318,0.9367513542381934,0.9368276493476768,0.9185320820935379,0.9212634470130465,0.9179827573052568,0.9236438544289312,0.9170748455024034,0.9238727397573816,0.9230792706187533,0.9399786373693446,0.9291142137788968,0.9360036621652551,0.925284199282826,0.9356755931944762,0.9289463645380331,0.9268177309834439,0.9341344319829099,0.9234531166552225,0.9277485313191425,0.9263447013046464
31,0.942446153374797,0.952771224608597,0.9425763656974785,0.9420938141487178,0.9374368087257576,0.9436180642789301,0.9497840007353167,0.9376665951775484,0.9382027635650603,0.9566546156438618,0.9321057630442108,0.9441465731180488,0.9552222800943657,0.9565703606115384,0.9597414136462513,0.9616563007445081,0.9464137994423848,0.9467048622813199,0.9458623119580869,0.9321517203345691,0.9373985109837925,0.9546861117068537,0.9516682496400012,0.9565397224179663,0.9497533625417446,0.9556512148043751,0.9571371671926224,0.9551303655136494,0.95336100983486,0.9529090964796715,0.9508486779619473,0.951645270994822,0.9526793100278808,0.9528631391893134
32,0.941619485097746,0.9333557159644115,0.9426953774779862,0.9416805286370503,0.9382239382239382,0.9338898469333252,0.9443588139240313,0.9303187998840172,0.9224441833137486,0.9335159552550857,0.9193385932516367,0.9328368458803242,0.9374761548674592,0.931768583942497,0.9355380224945441,0.9365757626627191,0.9320280189845408,0.9349428479863262,0.9317914752697362,0.9232987928640103,0.9316770186335404,0.9296931036061472,0.9368657194744151,0.9305324522715827,0.9360416316938056,0.9387428083080257,0.9324095411051931,0.9398873746699833,0.9464571855876204,0.9382163077815252,0.9471362949623818,0.9458467501945762,0.935064935064935,0.9386512429990691
33,0.9268372703412073,0.9263413294268449,0.9271729841909296,0.9267762314594397,0.9197949093572607,0.930209668558872,0.9298968442898127,0.9118445950070194,0.9047183055606421,0.9302249282793139,0.9040163584203138,0.9107458951352013,0.9247085393395593,0.9307437587743392,0.9303241164621865,0.9311481413660502,0.9143471891594946,0.9141335530733077,0.9143777086003785,0.9117988158456937,0.9029634377098212,0.9247390587804432,0.9168345235915277,0.9175364707318562,0.9269746078251846,0.9334599890130013,0.9316974913019592,0.9279970090947934,0.9303088567417446,0.9262039919428675,0.9267838613196606,0.9303546359030702,0.9273026918146859,0.9305835317096991
34,0.9444885799404171,0.945458712092277,0.945733710182568,0.9442364983576504,0.9374837674738371,0.9448399663891223,0.9473225880375831,0.9386448705217325,0.9341074020319304,0.9484836910854786,0.9365823848445496,0.9296921549155909,0.9493239630280346,0.9467267588419526,0.9522878313345047,0.9542739286532732,0.9390268123138035,0.9387670918951951,0.938874035596975,0.9498739592086166,0.9334657398212514,0.9448628828966464,0.9462378733481018,0.9503475670307846,0.9485295241005269,0.9464975937667099,0.9457107936750438,0.9453976014055459,0.9464670384233442,0.9495836834466427,0.9480711939500419,0.9460316247803835,0.9505920097777099,0.9463753723932472
35,0.9485555572512094,0.949990080424863,0.9488912967173837,0.9489981229111665,0.9385138950356342,0.951653516870908,0.9497535367100586,0.9406504189112884,0.9461595983335115,0.9504326460848199,0.9308987135074092,0.9367894150502845,0.9455720542677064,0.9497077540555802,0.9514246035985165,0.9521266043005173,0.9356143269186745,0.9341798037450211,0.9355380224945443,0.9405741144871579,0.9479298609733392,0.9458391197521633,0.9499137760007325,0.9450302928563797,0.9432829215437911,0.9467242510720771,0.9410853541288324,0.9476551650464693,0.9415965937705069,0.9475330779678608,0.9520350389915607,0.9529506920811268,0.9569643047903917,0.9562165214339127
36,0.9458661417322836,0.9401742660074468,0.9458814014527255,0.945782213269853,0.9402429347494354,0.9456219862052128,0.9481474699383508,0.9371757309406092,0.9197643899163767,0.9427684184825733,0.9314533357748888,0.9354666422511139,0.9457059146676432,0.940319233351645,0.9464536409692974,0.9480253921748152,0.9311176219251663,0.9304919733870476,0.9308582066776536,0.9302478178599768,0.9272721723738021,0.9409601416102057,0.9436763718488677,0.9403955319538546,0.9530153207593237,0.9348104742721114,0.9447674418604651,0.9459729597753771,0.9374809253494476,0.9446072147958249,0.9404794604162853,0.9487273393151437,0.9482390282610024,0.9524964902642984
37,0.9318296274818013,0.935637218245914,0.9313718009370184,0.9311199963373876,0.9191783539609628,0.9329284111892807,0.928945320249668,0.9173470477818303,0.9095487356356923,0.9313412791673661,0.9184153097196576,0.9185526576830924,0.9342789994963908,0.9335235856974987,0.9302424954598868,0.9298609733392342,0.9215895737634869,0.9158820028385246,0.9218337479207044,0.9142033055076534,0.8982556808643766,0.9299067559937125,0.9277854930028845,0.931783844827323,0.937720329024677,0.9353548918766309,0.9313565400521924,0.9291513421948204,0.9296091687396035,0.9305858653684741,0.9344392387870647,0.9328063241106719,0.9374914157522852,0.9412303325346805
38,0.9449371936274511,0.9410079656862745,0.944998468137255,0.9448988970588236,0.9365962009803922,0.9441329656862745,0.9467064950980393,0.9294577205882353,0.9303921568627451,0.9423866421568627,0.933639705882353,0.9252757352941178,0.9432215073529412,0.9420879289215686,0.9416666666666667,0.9405790441176469,0.9349571078431373,0.9310661764705882,0.9349417892156863,0.9329503676470589,0.9289368872549019,0.9452512254901961,0.9392156862745099,0.9435278799019607,0.9392156862745097,0.9459099264705884,0.9432751225490196,0.9436351102941176,0.9468520220588235,0.9419270833333334,0.9357383578431373,0.9372549019607843,0.9423713235294117,0.9431372549019608
39,0.9268993402851671,0.9322880248077097,0.9275529747970692,0.9282446113154774,0.9191317301553522,0.929392271911957,0.9272033563372146,0.9228407259903323,0.9155747423463959,0.9321436171829872,0.9201805855349162,0.9160763688322744,0.9336332958380202,0.9322728240051074,0.9308059465539781,0.9293770711093545,0.923676770133463,0.9166996017389718,0.9237071717386677,0.9220958866628158,0.9056638190496458,0.9217158665977564,0.9252196515976043,0.9255008664457484,0.9310035569878089,0.9334508862067917,0.9412640987444136,0.9258428845043019,0.9297114887666069,0.935959018636184,0.9313455750463624,0.9361870306752197,0.9239351837777035,0.9269449426929742
40,0.9393891017454237,0.9384844614729673,0.9389785927142249,0.9392066532871132,0.9364015082405888,0.9364927324697438,0.9365915587179956,0.9136562671045431,0.907924344705954,0.9363863042023962,0.9125919844310649,0.9161269233108313,0.9337788116523749,0.9387277260840478,0.9345922276956761,0.9336647813659308,0.9051115976403332,0.8996685519674025,0.9050963936021408,0.9108131119625373,0.9111476008027732,0.921623183117436,0.9284954083804658,0.9268685762938637,0.9355956942163839,0.9304719333454964,0.9312169312169312,0.9417837377607492,0.9316426442863224,0.9317642765918629,0.932387642157757,0.9329273855135924,0.9363863042023961,0.9356108982545764
41,0.9471004869411244,0.9574498939109464,0.9471844423073987,0.9465814901314282,0.9393079024896582,0.9532902871273526,0.9521072796934865,0.9473523530399475,0.9499168078643282,0.9639373540321473,0.9569690586313749,0.9446657813191677,0.9685701637892874,0.959739585718429,0.966494176550503,0.9672574071529974,0.9548625421684908,0.9541908992382958,0.9545267207033933,0.9622964082367846,0.9468409885362764,0.9531529056189036,0.9565874433301278,0.9641739555189205,0.9660896643311809,0.9721039214788356,0.955244157469738,0.9526797026453573,0.961342369983667,0.9622735113187099,0.9741188502694204,0.9576635984796447,0.9642960724153196,0.9615331776342905
42,0.9515695820043646,0.955354281441238,0.9518366474888214,0.9519511041250173,0.9444656401178141,0.9534695621652143,0.9497001236131671,0.9411540281105499,0.9431684649075953,0.9532253880079966,0.949104949104949,0.937140415401285,0.9524394524394525,0.954171562867215,0.9516535168709082,0.9495932974193844,0.9438399438399439,0.936697849741328,0.9443588139240312,0.9362247623117188,0.926854579028492,0.9528667572145832,0.9553008683443466,0.9529506920811268,0.948792100966014,0.9522563218215393,0.9518747997008867,0.9541028888854977,0.9444274879057487,0.9442901399423138,0.942657225265921,0.9503716025455156,0.9413066369588109,0.9495780365345583
43,0.9400869803229829,0.9432727106839816,0.9388400596088926,0.9394787263161096,0.924698153949089,0.9433107265594113,0.9393722818649068,0.9233447887837962,0.9191326297861987,0.9435692345123324,0.9184939630789817,0.9123658039597337,0.9455764727350141,0.944048234542745,0.9421854566466957,0.9418357105927435,0.9250174873026977,0.917034153462486,0.9256409476597428,0.9266445667710838,0.9197941060186735,0.9314421702502966,0.9324381861865515,0.936011678476932,0.9389769167604392,0.9373574404671392,0.9356163133724643,0.9370000912381011,0.9352209482679967,0.9337383291262431,0.9290927891487485,0.9382165992518475,0.9474468538061495,0.9456068854353579
44,0.9501063991488068,0.9486700106399149,0.9501595987232102,0.9498024015807873,0.9514971880224957,0.9499620003039975,0.9513071895424837,0.9344277245782034,0.9410548715610275,0.9478796169630643,0.9290545675634595,0.9393220854233165,0.9465648274813802,0.9482292141662868,0.9477124183006537,0.9489892080863352,0.9435628514971881,0.9433956528347774,0.9436540507675939,0.9319957440340477,0.941298069615443,0.9469372245022039,0.9456452348381212,0.9517783857729137,0.951702386380909,0.9465040279677763,0.9519227846177231,0.9487688098495212,0.9458048335613314,0.9511627906976745,0.9386760905912753,0.9482444140446877,0.9551603587171302,0.9581471348229214
45,0.9503524995422084,0.9483916254654214,0.9493453579930415,0.9502914606604408,0.9528016846731369,0.9459424403344932,0.9495895135201122,0.9419672831593725,0.9352377464444851,0.9478575352499542,0.936428004638955,0.9359549533052554,0.9439357870963805,0.9486739302935971,0.948879936519563,0.9486052615516084,0.9401971555881096,0.936824757370445,0.9402124153085516,0.9426844900201428,0.9313159982909114,0.9412500762986021,0.9413568943416956,0.9527711652322529,0.9445080266129524,0.9529085027162302,0.9522065555759018,0.9442257217847769,0.9517563938228653,0.9460721479582495,0.9503601294024293,0.9480635414759202,0.9506958432521516,0.9495589940792285
46,0.966451178038543,0.9659609669413892,0.9653711817151261,0.9666656453935476,0.9625907656484574,0.9663133061674685,0.96851925610466,0.961380557002359,0.9453797604093264,0.9675541530071387,0.9563405741597476,0.9582401421612183,0.9665737308128314,0.9675771316523177,0.9652716075860167,0.9645516100370721,0.9610128986794938,0.9536597322221881,0.9612426851312846,0.9662213915867521,0.9614724715830756,0.961342259260394,0.9600554551303656,0.9632801250038296,0.9688639357823464,0.972211158430099,0.9620775759061246,0.9644290572627837,0.976209442691259,0.9756579552069609,0.9748537026256932,0.9573592940960202,0.9629737430681087,0.9700664848800514
47,0.9492385399499481,0.9486205212720502,0.9487578587560277,0.9491469816272966,0.9438747482146128,0.9537630470609779,0.9511765244460723,0.940136116706342,0.939357870963804,0.9505279863272905,0.9460568882378074,0.9401361167063419,0.955098272599646,0.9501312335958005,0.9519166208875054,0.952160776414576,0.9428065677836782,0.9378166391991698,0.943035463590307,0.9387017029848014,0.9365882317035953,0.9512299334676189,0.9479338338521638,0.9481932490996766,0.9487883781969114,0.950024415552707,0.9466062381737167,0.9479033144112801,0.9516953549410974,0.9443783189891961,0.9553958371482635,0.9382515412317647,0.9592718061405117,0.9604925837758653
48,0.9420724723991022,0.9422938903904592,0.9422022691526563,0.9427214561668728,0.9406294379037061,0.9416067311069373,0.940598897491105,0.9414234886313314,0.9275734115167896,0.9426680104448212,0.9317727182494236,0.9314215035045124,0.9423549712156611,0.9431413868401362,0.9433322644188922,0.9425534838975674,0.9344755447646097,0.9267335501702628,0.9347045978591171,0.935826958022203,0.921068303632782,0.9463099546474872,0.940217142333593,0.9404920060470017,0.9430726709117841,0.9466000885671965,0.9504023699360179,0.9458671186647732,0.9391787683051598,0.9446836776764854,0.9412020706399744,0.9381556644830271,0.9484477835295556,0.9438132759173575
49,0.9512714460784315,0.9557751225490196,0.9507812499999999,0.9510723039215685,0.9305759803921569,0.9477481617647058,0.9518075980392156,0.937561274509804,0.9422028186274508,0.9572916666666667,0.9322457107843137,0.9233149509803921,0.9604166666666666,0.9575061274509804,0.9564644607843138,0.9547181372549021,0.9397824754901961,0.9317401960784314,0.9401807598039216,0.9368566176470589,0.9299785539215687,0.9442555147058824,0.9477328431372549,0.9429610906862745,0.9551776960784313,0.9540747549019607,0.9540441176470588,0.9485447303921568,0.9482536764705882,0.9560891544117647,0.9531556372549019,0.9590992647058822,0.951455269607843,0.9540594362745097
