magic,full_ts_s2,full_ts_s3,full_ts_s4,full_ts_reg0.3_s1,lean_s1,lean_s2,lean_s3,lean_s4,baseline_final,baseline_qda_avg4
225,0.9290750377706899,0.9418255070428984,0.9538053016313887,0.9390327651197217,0.9419094419094419,0.9318448883666274,0.9425732903993774,0.9533474750866056,0.9244891418804463,0.9306316480229524
226,0.9185785593259147,0.923699836668651,0.9184640747355406,0.9197844636778556,0.9218604509166399,0.9206392819526492,0.9214101448611682,0.9205629588923997,0.9269740959533513,0.9263787760834058
227,0.9417885264341957,0.9462195603927889,0.9526799014987991,0.9460371507615601,0.9492445201106617,0.9457027331043079,0.947276016173654,0.954564801021494,0.9382999422369501,0.9453531146444532
228,0.939697265625,0.9416351318359375,0.9485321044921875,0.9501800537109375,0.952178955078125,0.9400787353515625,0.946136474609375,0.951416015625,0.9411163330078125,0.94500732421875
229,0.9477064080739299,0.9509438837548638,0.951498662451362,0.9414518482490271,0.9471288302529184,0.9515974586575875,0.9541433608949416,0.9529198078793775,0.947227626459144,0.9477216074902725
230,0.9391624826407436,0.9306926915622568,0.9441909441909442,0.9351717612587176,0.9336990858729989,0.9375829810612419,0.9322264104872802,0.9382315686663513,0.934179803745021,0.9279762540632106
231,0.9471583652618135,0.9455847473088853,0.9451134221249164,0.9417533296843642,0.9425895517849541,0.9423006750592957,0.9444140363680593,0.9419509821808673,0.9425439396703763,0.9400656814449917
232,0.9546784521584608,0.9424921106651551,0.9572290817733387,0.9398112687275957,0.9448665706669935,0.9543184533839886,0.9447746560862772,0.9543644106743466,0.9478078372499158,0.9477771990563436
233,0.9580096754009797,0.9527523005783874,0.9442901399423138,0.9518900605857128,0.9522029087246479,0.9583377844247409,0.9546141285271721,0.9479146000885131,0.949700123613167,0.9528362354449311
234,0.9297265106051583,0.9192816894956252,0.9306885336020889,0.9228014720478874,0.9251301785087116,0.9293142150350452,0.9211675599737352,0.9307725197367416,0.9349947317788264,0.9365064822025745
235,0.9302096685588721,0.926150582921321,0.93448239028261,0.9250137337483977,0.9254867850820971,0.9257919794909358,0.9230070805102851,0.9308429469572116,0.9258072392113775,0.9297595068058353
236,0.9610457037274572,0.9491654832256784,0.9496999404461954,0.9534793165055659,0.9546551223907035,0.9633820452914319,0.9555942400781836,0.9479285965153388,0.9536701940843221,0.9562203185365035
237,0.9517509727626459,0.9470130464637216,0.9507515068284123,0.952651255054551,0.9528114747844663,0.9545967803463797,0.9482871747920958,0.9537575341420614,0.9515831235217822,0.9579003585870146
238,0.9289758420193203,0.9433592259679215,0.9327071283593023,0.9439925526882049,0.9427411601324645,0.931615975094236,0.941031941031941,0.936697849741328,0.9313870618218444,0.9321348451783235
239,0.9540252685546875,0.9513092041015625,0.9509811401367188,0.9527587890625,0.9524154663085938,0.95318603515625,0.9498138427734375,0.9510574340820312,0.9554901123046875,0.952911376953125
240,0.966947445522798,0.9626136849172924,0.9522218152963438,0.96267472379906,0.9601110907648172,0.9659021546725265,0.9634834889824819,0.9565021668803028,0.9619422572178478,0.9605002136360861
241,0.9466865362975577,0.9438201392901676,0.9422842979228125,0.9441926948693774,0.9408701073568323,0.9437973297649099,0.9441774885192057,0.9398892977707491,0.9434932027614731,0.9424591709497887
242,0.9661402304112305,0.97353322652018,0.9704127565423056,0.9637598229953459,0.9609063859006637,0.9651636530098419,0.9745937285420004,0.9686198214694437,0.9671931029221026,0.964682993820096
243,0.9386217948717948,0.9384996947496946,0.935157203907204,0.9464133089133089,0.944787851037851,0.9364468864468865,0.9334935897435898,0.9346077533577534,0.9493589743589744,0.9471611721611722
244,0.9448590001831167,0.9486281511322712,0.9543734358786548,0.9396172862113166,0.940693096502472,0.9447292925593602,0.9493529878532626,0.9538622352438504,0.943249099676494,0.9397317341146311
245,0.952103520176622,0.9485312155034956,0.9485312155034957,0.9534143873420826,0.9526937936955722,0.9528164479332761,0.9487841898687599,0.9483472341469398,0.9545566049307003,0.9571630074819085
246,0.9573893289126297,0.955639467059618,0.959538282065451,0.956468348989992,0.9573663044145637,0.9628538097869467,0.9567599926321606,0.9599527230306379,0.9543654448333027,0.9519555473690673
247,0.9408688778767519,0.9386115586902988,0.9442054540479738,0.9410512875079804,0.9410512875079805,0.9416137172042685,0.9403596509895723,0.9462879640044995,0.9442890584622867,0.9426929741890372
248,0.9222069597069598,0.9260912698412699,0.9307844932844932,0.9195207570207571,0.9203678266178266,0.9207722832722833,0.9256486568986569,0.9291361416361417,0.9297008547008547,0.9242063492063493
249,0.9449004407964736,0.9436692506459949,0.9357729138166895,0.9527207782337741,0.9527055783553732,0.9482444140446876,0.9486244110047121,0.9345797233622131,0.950250797993616,0.9457364341085269
250,0.9396126787431135,0.9464571855876204,0.9348207609077175,0.9365757626627192,0.9376287637157202,0.9349504784287394,0.9440612266699224,0.9345460649808476,0.9368351977047629,0.9465716422238162
251,0.9505547331634289,0.9364689364689365,0.9509972988233859,0.9406809406809408,0.94655638133899,0.949364384146993,0.9410166801471149,0.9502189936972545,0.9502495154669067,0.9496085583042104
252,0.9306716918945312,0.9395370483398438,0.933624267578125,0.9420013427734375,0.94000244140625,0.9326934814453125,0.93853759765625,0.93389892578125,0.9497528076171875,0.9383392333984375
253,0.9447421043794172,0.9399566485017784,0.9415365358489416,0.942910350933431,0.9465433286013036,0.9462533009723558,0.9414296835645921,0.9448260597456917,0.9413686251163926,0.949413075666682
254,0.9541597997924679,0.9588292742476958,0.9554263565891473,0.952206555575902,0.9522065555759018,0.9526109381676128,0.9612784593786241,0.958791124946591,0.958600378441067,0.9590886894952085
255,0.9436106870229007,0.9457709923664122,0.939824427480916,0.951259541984733,0.9547480916030534,0.9465801526717557,0.952763358778626,0.9402824427480915,0.9530992366412213,0.9494351145038168
256,0.9290369352869353,0.9297237484737485,0.9190018315018315,0.9411019536019536,0.9423687423687424,0.9325549450549451,0.9302960927960928,0.9241300366300367,0.943070818070818,0.942002442002442
257,0.9372489959839356,0.9309282584884995,0.9319246683704514,0.9197319581355725,0.9283345503225021,0.9368154435925521,0.9342825848849946,0.9349138980163076,0.9253985639527808,0.9324571011317999
258,0.9511307452847464,0.9467512055179149,0.9513672709515961,0.9445538057742783,0.9494292864554722,0.9511536348654093,0.9472395165720565,0.9529466520173351,0.9565250564609656,0.9482085088201184
259,0.9646717557251907,0.962969465648855,0.9652137404580153,0.9674274809160305,0.9671374045801528,0.9668625954198474,0.9638549618320611,0.9656641221374046,0.9675572519083968,0.9683282442748091
260,0.9408945930685061,0.9432600302165519,0.9466937293024249,0.9462740549697072,0.9488607749477315,0.9437636394158133,0.9427640514597037,0.9458620110794024,0.9439009873792482,0.9489981229111664
261,0.937713623046875,0.93524169921875,0.9332733154296875,0.9537200927734375,0.95074462890625,0.9388427734375,0.9335479736328125,0.9370269775390625,0.9465179443359375,0.947296142578125
262,0.9433515955255085,0.9557510644467165,0.9542478672913456,0.9502113632548415,0.9534695621652143,0.9477772521250782,0.9555603033863903,0.9569337830207395,0.9520045172219085,0.9550338028598898
